EV Charger Registration Code,operator,No. of Charging Outlets,evCpId,plugType,chargingSpeed,PostalCode,Block/House No,Street Name,Building Name,Floor No,Lot No,Is the charger publicly accessible?,longitude,latitude
R109373Z,CHARGE+ PTE. LTD.,2,R109373Z-001,Type 2,7.4,180270,270,QUEEN STREET,ALBERT CENTRE,B1,MC14 & 87,Yes,103.854118,1.3010633
R109373Z,CHARGE+ PTE. LTD.,2,R109373Z-002,Type 2,7.4,180270,270,QUEEN STREET,ALBERT CENTRE,B1,MC14 & 87,Yes,103.854118,1.3010633
R109374C,CHARGE+ PTE. LTD.,2,R109374C-001,Type 2,7.4,180270,270,QUEEN STREET,ALBERT CENTRE,B1,88 & 89,Yes,103.854118,1.3010633
R109374C,CHARGE+ PTE. LTD.,2,R109374C-002,Type 2,7.4,180270,270,QUEEN STREET,ALBERT CENTRE,B1,88 & 89,Yes,103.854118,1.3010633
R109375G,CHARGE+ PTE. LTD.,2,R109375G-001,Type 2,7.4,180270,270,QUEEN STREET,ALBERT CENTRE,B1,90 & 91,Yes,103.854118,1.3010633
R109375G,CHARGE+ PTE. LTD.,2,R109375G-002,Type 2,7.4,180270,270,QUEEN STREET,ALBERT CENTRE,B1,90 & 91,Yes,103.854118,1.3010633
R109376R,CHARGE+ PTE. LTD.,2,R109376R-001,Type 2,7.4,642712,712B,JURONG WEST STREET 71,GOLDEN LAVENDER,L4,52 & 53,Yes,103.6968539,1.3428451
R109376R,CHARGE+ PTE. LTD.,2,R109376R-002,Type 2,7.4,642712,712B,JURONG WEST STREET 71,GOLDEN LAVENDER,L4,52 & 53,Yes,103.6968539,1.3428451
R109377D,CHARGE+ PTE. LTD.,2,R109377D-001,Type 2,7.4,642712,712B,JURONG WEST STREET 71,GOLDEN LAVENDER,L4,54 & 55,Yes,103.6968539,1.3428451
R109377D,CHARGE+ PTE. LTD.,2,R109377D-002,Type 2,7.4,642712,712B,JURONG WEST STREET 71,GOLDEN LAVENDER,L4,54 & 55,Yes,103.6968539,1.3428451
